image_name,x_1,y_1,x_2,y_2,plate
train/000000_0.jpg,566,558,626,586,粤ZJA50港
train/000000_0.jpg,635,538,705,570,UB175
train/000001_0.jpg,1003,791,1160,831,MB3185
train/000002_0.jpg,1077,565,1209,604,NG8134
train/000004_0.jpg,972,627,1120,668,TT583
train/000005_0.jpg,159,685,280,728,TT583
train/000008_0.jpg,725,449,816,471,NH7752
train/000009_0.jpg,514,520,610,545,RK1425
train/000012_0.jpg,643,909,768,939,VN4935
train/000013_0.jpg,83,405,137,421,NG6141
train/000016_0.jpg,178,607,312,653,NH6660
train/000017_0.jpg,296,947,466,994,RY6394
train/000018_1.jpg,71,140,120,165,UC5086
train/000019_0.jpg,1131,877,1306,925,FV719
train/000020_0.jpg,270,882,478,949,HT9507
train/000021_0.jpg,285,942,498,994,LD3600
train/000024_2.jpg,26,113,75,139,CT2388
train/000027_0.jpg,1411,620,1468,657,AM9084
train/000032_0.jpg,95,589,176,634,UP7833
train/000033_0.jpg,155,597,255,626,BR3068
train/000035_0.jpg,91,485,162,518,KY7170
train/000037_0.jpg,1014,763,1181,802,KY8548
train/000038_0.jpg,278,849,487,905,KZ1648
train/000039_0.jpg,203,835,369,900,UK5748
train/000041_0.jpg,1295,578,1374,605,PV365
train/000042_0.jpg,162,501,272,542,HU4821
train/000047_0.jpg,232,530,353,569,NH7752
train/000048_0.jpg,396,415,584,550,EL1160
train/000049_0.jpg,385,558,543,603,AM8454
train/000050_0.jpg,136,580,295,634,FG6669
train/000051_0.jpg,314,222,442,296,WP473
train/000052_0.jpg,494,79,687,177,FA733
train/000052_1.jpg,258,600,381,704,KG1119
train/000053_0.jpg,211,574,298,592,SY2234
train/000053_0.jpg,217,611,290,635,粤ZJB69港
train/000054_0.jpg,235,780,381,819,EJ6465
train/000055_0.jpg,415,557,485,581,KP977
train/000057_0.jpg,140,317,221,347,F406
train/000059_0.jpg,138,434,229,458,VA4517
train/000062_0.jpg,162,478,273,507,NG2328
train/000064_2.jpg,85,260,126,285,AS22
train/000065_0.jpg,1033,431,1068,459,SY2974
train/000066_0.jpg,948,556,1002,582,粤ZJJ86港
train/000066_0.jpg,936,580,1002,603,SY2974
train/000067_0.jpg,822,361,868,375,PZ7969
train/000068_0.jpg,706,595,786,618,UB7690
train/000068_0.jpg,810,588,877,617,粤ZHS31港
train/000070_0.jpg,710,604,797,629,UD6779
train/000070_0.jpg,819,603,891,625,粤ZFH53港
train/000071_0.jpg,683,573,749,608,F2325
train/000074_1.jpg,373,490,441,535,F2325
train/000075_0.jpg,188,614,281,647,PN3498
train/000076_0.jpg,746,468,809,493,F2321
train/000077_0.jpg,526,421,653,446,F437
train/000078_0.jpg,506,803,762,876,F431
train/000080_0.jpg,139,914,256,975,TT6068
train/000081_0.jpg,293,877,487,927,PC4262
train/000084_0.jpg,180,357,318,459,SJ1569
train/000085_0.jpg,114,393,157,429,TV3095
train/000090_0.jpg,815,1102,1009,1182,RJ4497
train/000092_0.jpg,196,1002,330,1051,JY1853
train/000093_0.jpg,224,983,372,1022,JU7153
train/000094_0.jpg,230,1072,379,1110,JZ4062
train/000095_0.jpg,144,547,213,564,JV3169
train/000096_0.jpg,187,898,324,935,KS2234
train/000097_0.jpg,410,784,581,830,ZG1111
train/000098_0.jpg,167,625,226,661,JM6015
train/000099_0.jpg,530,404,589,445,VL5409
train/000102_0.jpg,117,345,314,463,JB897
train/000102_3.jpg,59,95,93,114,VN6130
